,RAJ2000,DEJ2000,P,F555W,e_F555W,F606W,e_F606W,F814W,e_F814W,WVI_555,e_WVI_555,Z,sig_clip
0,202.467814,47.178066,86.599370,23.231583,0.095228,22.765769,0.078577,21.676897,0.067236,19.716438,0.161645,9.303563, 
1,202.471873,47.189042,87.429828,22.811572,0.107040,22.520624,0.094830,21.760899,0.086759,20.435999,0.194204,9.346518,+
2,202.531670,47.202995,24.228597,22.872533,0.103547,22.601664,0.099604,21.882352,0.089288,20.633733,0.194161,9.120975, 
3,202.497901,47.203958,50.133911,23.488937,0.067679,23.020310,0.050276,21.923540,0.049785,19.949573,0.117061,9.253779, 
4,202.522823,47.207039,71.167885,22.926808,0.047289,22.651971,0.044341,21.926379,0.045043,20.664839,0.093866,9.153385,+
5,202.480773,47.187783,45.637638,23.445288,0.038549,23.114796,0.031763,22.275008,0.050859,20.799285,0.095199,9.318958,+
6,202.476990,47.212577,74.444702,23.603234,0.063826,23.235176,0.053186,22.324224,0.047744,20.711394,0.111274,9.297285,+
7,202.494371,47.205470,52.087444,23.184795,0.082035,22.972731,0.065820,22.385689,0.043199,21.378016,0.124638,9.265129,+
8,202.515544,47.201732,48.555492,23.334628,0.063735,23.090185,0.046276,22.426760,0.042753,21.281938,0.105800,9.186090,+
9,202.516680,47.171205,51.818207,23.350215,0.113376,23.087223,0.090106,22.384126,0.056717,21.165888,0.169622,9.160014,+
10,202.477701,47.208729,59.191887,23.429961,0.123172,23.180018,0.094522,22.510452,0.056891,21.350951,0.180299,9.309811,+
11,202.496972,47.177071,37.608019,23.420304,0.060905,23.179502,0.040704,22.525589,0.038929,21.397354,0.099114,9.240669,+
12,202.530399,47.194936,54.346443,23.527186,0.065296,23.259977,0.051560,22.547034,0.041879,21.311064,0.106406,9.128032,+
13,202.530235,47.184535,48.934669,23.380776,0.063133,23.143541,0.050701,22.495321,0.040684,21.378763,0.103078,9.124903,+
14,202.509404,47.160187,47.497247,23.414512,0.068035,23.174934,0.061143,22.525099,0.063784,21.403550,0.133783,9.159297,+
15,202.460605,47.184855,45.043060,23.623129,0.042026,23.325715,0.031320,22.551745,0.026112,21.200731,0.067635,9.317857,+
16,202.515598,47.171042,51.979917,23.654836,0.082369,23.353197,0.073322,22.564139,0.061021,21.188769,0.142945,9.163586,+
17,202.516443,47.171064,41.075064,23.445745,0.116934,23.212368,0.097229,22.573694,0.057084,21.474038,0.173731,9.160607,+
18,202.468810,47.165535,50.589199,23.589485,0.071590,23.331826,0.060664,22.642039,0.051954,21.447308,0.123049,9.253369,+
19,202.531357,47.180933,42.146157,23.866739,0.057944,23.521348,0.045547,22.649600,0.042083,21.114787,0.099629,9.117563,+
20,202.517716,47.165121,38.415460,23.668224,0.057023,23.403384,0.046469,22.700154,0.032627,21.479418,0.089037,9.144270,+
21,202.459868,47.187492,30.153393,23.427945,0.105722,23.225359,0.092926,22.664425,0.081475,21.701626,0.186993,9.323117,+
22,202.488888,47.176851,46.527412,23.734955,0.050436,23.443724,0.045983,22.681166,0.037054,21.352339,0.087185,9.265678,+
23,202.522182,47.199685,34.312670,23.869179,0.077100,23.538524,0.058586,22.695555,0.040718,21.215615,0.117246,9.160411,+
24,202.463699,47.190304,5.353072,24.137085,0.081119,23.730789,0.067246,22.752571,0.056393,21.006700,0.136750,9.342249, 
25,202.494697,47.168142,11.714555,23.745435,0.062877,23.480067,0.052119,22.771014,0.048946,21.542268,0.111767,9.224215, 
26,202.482450,47.211553,40.057547,23.845635,0.076332,23.557800,0.065116,22.801370,0.055467,21.484553,0.131278,9.289513,+
27,202.466373,47.205653,5.684763,23.444326,0.066564,23.273326,0.055796,22.779451,0.048120,21.941042,0.114206,9.329384, 
28,202.529745,47.187736,62.552898,23.950650,0.044803,23.634822,0.032132,22.823768,0.029272,21.402771,0.073562,9.128783,+
29,202.497330,47.182969,36.052612,23.915161,0.097225,23.611056,0.080766,22.818609,0.047275,21.435857,0.144290,9.250867,+
30,202.528230,47.179286,55.459278,23.861000,0.042703,23.566585,0.029893,22.794118,0.043011,21.448779,0.087700,9.128169,+
31,202.512520,47.190589,46.985204,23.966336,0.062865,23.648350,0.048036,22.832881,0.044876,21.403595,0.107240,9.199089,+
32,202.531039,47.198287,35.266327,23.753632,0.071817,23.503475,0.060027,22.826180,0.040199,21.656664,0.111296,9.125153,+
33,202.524829,47.194265,46.505758,23.775981,0.070053,23.516230,0.058742,22.822612,0.046052,21.620414,0.115310,9.150454,+
34,202.492977,47.175623,32.926479,24.072418,0.072517,23.740920,0.055563,22.895456,0.037864,21.411306,0.109888,9.250083,+
35,202.536315,47.182159,37.749637,23.750865,0.077601,23.511360,0.061723,22.860540,0.046611,21.737841,0.123300,9.099052,+
36,202.505032,47.190402,42.145708,24.108057,0.042268,23.768574,0.035462,22.908125,0.034293,21.395011,0.076726,9.228963,+
37,202.523992,47.210884,30.207954,23.862429,0.044743,23.608538,0.043139,22.929288,0.047443,21.752597,0.094937,9.144997,+
38,202.511760,47.163161,40.137693,24.159400,0.057852,23.810873,0.044501,22.934833,0.040128,21.390655,0.097430,9.159545,+
39,202.474335,47.203561,37.721228,24.343301,0.081240,23.926846,0.063037,22.925378,0.038976,21.137377,0.120123,9.334652,+
40,202.522977,47.207744,31.117468,23.695304,0.107944,23.482906,0.096114,22.894841,0.070321,21.885458,0.177020,9.152149,+
41,202.524493,47.178753,59.508095,24.540877,0.069471,24.067882,0.053718,22.966230,0.048105,20.980601,0.116911,9.142061,+
42,202.461546,47.198478,33.465082,23.977141,0.079666,23.708023,0.058892,22.994216,0.033748,21.754748,0.114202,9.338360,+
43,202.505667,47.156524,38.418093,23.800048,0.086932,23.703181,0.077413,22.937385,0.066027,21.849566,0.152672,9.159804,+
44,202.488331,47.189510,27.393414,23.942062,0.095931,23.665003,0.082343,22.945126,0.089400,21.687990,0.187974,9.294153,+
